2023-02-23 19:56:11.1778||DEBUG|Program|Init main 
2023-02-23 19:56:11.2109||ERROR|Program|test 
2023-02-23 20:10:30.7974||DEBUG|Program|Init main 
2023-02-23 20:10:30.8268||ERROR|Program|test 
2023-02-23 21:34:01.5396||DEBUG|Program|Init main 
2023-02-23 21:34:01.5746||ERROR|Program|test 
2023-02-23 21:42:47.8778||DEBUG|Program|Init main 
2023-02-23 21:42:47.9154||ERROR|Program|test 
2023-02-23 21:45:50.7055||DEBUG|Program|Init main 
2023-02-23 21:45:50.7366||ERROR|Program|test 
2023-02-23 21:48:55.4755||DEBUG|Program|Init main 
2023-02-23 21:48:55.5075||ERROR|Program|test 
